ip,port,type,country,anonymity,source,last_checked,response_time_ms
157.66.16.54,8989,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.70.145.139,5678,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
72.210.208.101,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
94.102.124.87,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.118.85.146,1080,socks5,BD,elite,github-raw,2026-08-01T03:31:24.305Z,
51.15.223.12,16379,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
144.24.111.128,1088,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
104.194.146.9,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
150.136.163.51,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
38.154.197.166,6832,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
191.96.130.80,5843,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
81.16.9.222,3629,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
109.224.242.6,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
192.111.139.165,4145,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
118.70.211.121,60606,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
199.102.105.242,4145,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
43.155.215.149,20000,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
31.58.18.165,6434,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
198.8.94.170,4145,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
23.251.62.210,10080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
122.248.38.4,4153,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
118.69.134.153,20000,socks5,VN,elite,github-raw,2026-08-01T03:31:24.305Z,
176.12.65.24,443,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
217.182.6.206,26379,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
94.70.148.177,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
45.123.142.20,8181,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.55.106.150,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
199.66.182.243,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
112.168.139.118,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.226.207.214,5763,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
171.4.81.115,5678,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.177.176.62,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
116.104.6.242,1080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
192.111.129.145,16894,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.226.207.242,5791,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
185.27.144.129,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
145.223.46.227,5777,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
66.181.39.197,3128,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
103.126.86.101,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
41.220.16.213,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
14.238.8.63,9090,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
149.18.81.114,7890,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
68.71.247.130,4145,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
38.159.36.218,999,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
52.34.243.150,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
138.94.28.234,40658,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
109.224.22.34,51372,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
140.245.99.105,7890,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
43.203.195.46,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
105.214.84.252,5678,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
108.170.12.13,80,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
67.205.153.110,51528,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
104.143.226.239,5842,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
154.6.87.49,6519,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
180.211.93.108,8080,socks5,,,github-raw,2026-08-01T03:31:24.305Z,
98.181.137.80,4145,socks5,US,elite,github-raw,2026-08-01T03:31:24.305Z,
